InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
r5d.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.6202
r5d.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.5442
r5d.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.5264
r5d.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.5065
d3.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.7414
c5a.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.4006
c5a.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.4771
c5a.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.4849
c5a.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.3282
c6gn.16xlarge,us-west-2,usw2-az2,3.0,0.0,0.8308
is4gen.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.748
is4gen.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.5801
is4gen.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.6858
x2gd.medium,us-west-2,usw2-az3,3.0,0.0,0.0554
x2gd.medium,us-west-2,usw2-az2,3.0,0.0,0.0406
x2gd.medium,us-west-2,usw2-az1,3.0,0.0,0.0418
x2gd.medium,us-west-2,usw2-az4,3.0,0.0,0.0478
c6gd.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2345
c6gd.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1286
c6gd.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.0936
c6gd.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1569
c6a.large,us-west-2,usw2-az4,3.0,0.0,0.043
c6a.large,us-west-2,usw2-az2,3.0,0.0,0.042
c6a.large,us-west-2,usw2-az1,3.0,0.0,0.0433
c6a.large,us-west-2,usw2-az3,3.0,0.0,0.0598
g5g.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.359
g5g.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.3411
g5g.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.447
c7g.medium,us-west-2,usw2-az1,3.0,0.0,0.0264
c7g.medium,us-west-2,usw2-az2,3.0,0.0,0.0295
c7g.medium,us-west-2,usw2-az3,3.0,0.0,0.0252
